,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date
58,Nikolskoye,RU,59.7,30.79,25.57333374023438,48.2,66,20.13,40,1538013600
59,Muroto,JP,33.37,134.14,178.5870666503906,71.6,73,3.36,75,1538013600
60,Huarmey,PE,-10.07,-78.15,12,56.58,82,3.18,0,1538015863
61,Kloulklubed,PW,7.04,134.26,23.70294761657715,86,74,13.87,75,1538013000
62,Dikson,RU,73.51,80.55,40.83399200439453,37.86,100,14.92,76,1538015848
63,Los Llanos De Aridane,ES,28.66,-17.92,329.769287109375,71.6,88,8.05,0,1538013600
64,Provideniya,RU,64.42,-173.23,12.1826753616333,50,76,13.42,75,1538013600
65,Tautira,PF,-17.73,-149.15,-324.5338134765625,78.8,61,4.7,75,1538013600
66,Cidreira,BR,-30.17,-50.22,18.51212882995605,67.83,98,4.97,92,1538015830
67,Pevek,RU,69.7,170.27,1.159379720687866,44.61,91,14.03,64,1538015880
68,Conde,BR,-11.81,-37.61,6.234748840332031,75.3,90,8.1,88,1538015880
69,Tura,RU,64.27,100.22,199.5959777832031,35.88,77,4.85,8,1538015880
70,Batagay-Alyta,RU,67.8,130.41,503.2396850585938,23.1,85,6.64,92,1538015881
71,Thompson,CA,55.74,-97.86,205.96533203125,37.4,74,3.36,75,1538013600
72,Constitucion,MX,23.99,-104.67,1884.294189453125,68,64,6.93,90,1538012700
73,Buchanan,LR,5.88,-10.05,7.021049022674561,77,94,5.82,75,1538013600
74,Hermanus,ZA,-34.42,19.24,23.73564338684082,53.43,87,8.21,20,1538015867
75,Margate,ZA,-30.86,30.37,41.07110977172852,66.39,93,16.15,0,1538015882
76,Puerto Del Rosario,ES,28.5,-13.86,22.77594184875488,73.4,73,3.36,0,1538013600
77,Pangnirtung,CA,66.15,-65.72,-0.4377046525478363,25.44,82,7.2,0,1538015882
78,Ixtapa,MX,20.71,-105.21,31.81302070617676,84.2,83,0.94,90,1538012820
79,Niceville,US,30.52,-86.48,15.67468643188477,78.98,93,4.74,75,1538014020
80,Tuktoyaktuk,CA,69.44,-133.03,0,30.2,74,17.22,75,1538013600
81,Talnakh,RU,69.49,88.39,78.85778045654297,43.35,93,20.96,100,1538015883
82,Port Alfred,ZA,-33.59,26.89,19.96259117126465,62.79,94,13.8,0,1538015884
83,Hailar,CN,49.2,119.7,623.7797241210938,61.8,53,18.28,0,1538015884
84,East London,ZA,-33.02,27.91,34.73191833496094,68.1,100,21.18,8,1538015856
85,Kristiansund,NO,63.12,7.73,2.04622220993042,48.2,75,26.4,92,1538014800
86,Avarua,CK,-21.21,-159.78,19.53422927856445,80.6,74,5.82,75,1538013600
87,Upernavik,GL,72.79,-56.15,0,34.53,100,20.29,76,1538015819
88,Petkovci,BA,44.45,19.08,183.6680908203125,31.38,83,2.06,0,1538015885
89,Esperance,AU,-33.86,121.89,12.19911098480225,59.73,79,7.2,80,1538015886
90,Mar Del Plata,AR,-46.43,-67.52,29.3094654083252,42.18,87,11.45,64,1538015886
91,New Norfolk,AU,-42.78,147.06,26.50635147094727,64.4,36,13.87,20,1538013600
92,San Borja,BO,-14.86,-66.75,195.5564422607422,76.2,82,1.95,32,1538015886
93,Bredasdorp,ZA,-34.53,20.04,80.48450469970703,60.8,67,3.36,56,1538013600
94,San Carlos De Bariloche,AR,-41.13,-71.31,769,35.6,93,6.93,90,1538013600
95,Guerande,FR,48.47,-4.17,134.3359985351562,57.2,58,10.29,0,1538013600
96,Kurchum,KZ,48.57,83.65,421.9730834960938,54.33,72,5.19,0,1538015888
97,Vaini,TO,-21.2,-175.2,20,80.6,65,8.05,40,1538013600
98,Piopio,NZ,-38.47,175.01,136.7178497314453,54.33,67,11.12,64,1538015888
99,Bilma,NE,18.69,12.92,358.260009765625,70.08,31,2.95,0,1538015888
100,Mirnyy,RU,56.57,36.46,136.0675506591797,43.35,94,29.57,92,1538015889
101,Akhtanizovskaya,RU,45.32,37.1,4.757333278656006,42.8,93,6.71,88,1538013600
102,Bambous Virieux,MU,-20.34,57.76,9.323868751525879,71.6,78,11.41,40,1538013600
103,Tshela,CD,-4.99,12.94,133.8586120605469,69.09,89,4.63,36,1538015889
104,Yelizovo,RU,53.19,158.38,28.7343864440918,60.8,57,17.9,12,1538013600
105,Nikki,BJ,9.94,3.21,403.2384948730469,72.6,96,8.77,12,1538015890
106,Bolgar,RU,54.97,49.03,83.1351089477539,41,80,8.95,75,1538013600
107,Trabzon,TR,41.01,39.72,8.796103477478027,60.8,72,13.87,75,1538013000
108,Loveland,US,40.4,-105.08,1520.410278320312,62.6,5,4.7,1,1538013360
109,Sobolevo,RU,54.43,31.9,186.6497802734375,45.96,93,29.12,92,1538015891
110,Visnes,NO,59.36,5.22,23.24944305419922,53.6,76,14.99,92,1538014800
111,Charters Towers,AU,-20.07,146.27,300.9297485351562,77.64,71,7.09,0,1538015892
112,Kahului,US,20.89,-156.47,1,87.98,70,11.41,40,1538014320
113,Isla Vista,US,34.41,-119.86,11.94700336456299,64.4,83,4.7,1,1538013360
114,Anand,IN,22.56,72.96,43.15354919433594,78.8,83,3.74,0,1538013600
115,Vaitape,PF,-16.52,-151.75,0,78.27,100,14.81,32,1538015892
116,Cabo San Lucas,MX,22.89,-109.91,13.43345355987549,80.6,83,4.29,75,1538012880
117,Bud,NO,62.91,6.91,12.40785026550293,48.2,81,16.11,92,1538014800
118,Olenegorsk,RU,68.14,33.28,164,37.59,100,4.41,92,1538015893
119,Lamu,KE,-2.27,40.9,16.80753326416016,72.69,100,11.34,92,1538015893
120,Port Elizabeth,ZA,-33.92,25.57,34.40129089355469,53.6,87,3.36,0,1538013600
121,Souillac,MU,-20.52,57.52,1.489344000816345,71.6,78,11.41,40,1538013600
122,Nemuro,JP,43.32,145.57,3.974807977676392,57.2,76,5.82,75,1538013600
123,Lompoc,US,34.64,-120.46,30.91554641723633,64.4,86,9.17,75,1538013480
124,Virginia Beach,US,36.85,-75.98,4.478214263916016,78.98,87,3.36,40,1538013900
125,Ilulissat,GL,69.22,-51.1,15.22115135192871,33.8,59,13.87,56,1538013000
126,Nuevo Progreso,MX,17.14,-95.05,119.6347274780273,72.6,99,6.42,76,1538015895
127,Xuddur,SO,4.12,43.89,493.4521179199219,70.53,85,10.78,8,1538015895
128,Qaanaaq,GL,77.48,-69.36,3.892444372177124,20.49,100,8.43,56,1538015895
129,Palora,EC,-1.7,-77.97,876.7960815429688,57.21,100,2.39,12,1538015895
130,La Crosse,US,43.8,-91.24,204.5261383056641,49.1,87,7.54,1,1538014500
131,Havelock,US,34.88,-76.9,7.034690856933594,80.96,96,4.7,1,1538013420
132,Kayes,ML,14.44,-11.44,48.29244613647461,75.93,83,2.62,0,1538015845
133,Nara,ML,15.17,-7.29,265.9855041503906,77.91,71,2.62,36,1538015896
134,Nadvoitsy,RU,63.89,34.27,101.9690093994141,43.62,100,8.99,64,1538015897
135,Horsham,AU,-36.71,142.2,132.9475555419922,64.68,88,7.99,0,1538015897
136,Santa Cruz De La Palma,ES,28.68,-17.76,0,71.6,88,10.29,0,1538015400
137,Ajdabiya,LY,30.75,20.22,1.457955598831177,71.61,78,2.62,88,1538015897
138,Broken Hill,AU,-31.97,141.45,317.6385192871094,80.88,30,14.03,0,1538015898
139,Arraial Do Cabo,BR,-22.97,-42.02,8.56655216217041,74.31,86,24.32,0,1538015827
140,Hobart,AU,-42.88,147.33,9.245833396911621,64.4,36,13.87,20,1538013600
141,Great Falls,US,47.5,-111.29,1019.585571289062,61.7,33,9.17,90,1538013480
142,Jiayuguan,CN,39.77,98.29,1659.739501953125,43.08,69,5.19,0,1538015898
143,Sinnamary,GF,5.38,-52.96,4.192888736724854,81.96,96,16.71,0,1538015899
144,Bathsheba,BB,13.22,-59.52,-0.09775867313146591,82.4,74,17.22,40,1538013600
145,Palmas Bellas,PA,9.23,-80.09,12.23467254638672,75.2,88,4.7,40,1538013600
146,Kailua,US,21.39,-157.74,0.002804932650178671,87.08,69,8.05,75,1538014440
147,Kavieng,PG,-2.57,150.8,12.332444190979,86.55,97,11.79,48,1538015900
148,Kenai,US,60.55,-151.26,3.731769561767578,53.06,66,6.93,1,1538013360
149,Lorengau,PG,-2.02,147.27,0.950973629951477,83.4,100,4.97,12,1538015900
150,Tessalit,ML,20.2,1.01,521.5233764648438,76.02,25,1.5,68,1538015901
151,Middelburg,ZA,-25.77,29.46,1476.21630859375,63.78,44,6.2,0,1538015901
152,Port Lincoln,AU,-34.72,135.86,1.329777836799622,59.01,92,11.12,48,1538015616
153,Cabedelo,BR,-6.97,-34.84,4.231160163879395,75.2,83,6.93,40,1538013600
154,Grand Gaube,MU,-20.01,57.66,16.13599967956543,71.6,78,11.41,40,1538013600
155,Luderitz,NA,-26.65,15.16,35.71016693115234,51.63,90,12.57,0,1538015902
156,Tuatapere,NZ,-46.13,167.69,25,45.96,100,7.31,92,1538015897
157,Hovd,MN,48.01,91.64,1391.369750976562,47.04,83,4.74,0,1538015902
158,Sibut,CF,5.73,19.09,432.3377685546875,68.1,97,9.78,76,1538015903
159,Bluff,NZ,-46.6,168.33,40,51.27,96,11.9,12,1538015903
160,Ocean City,US,30.44,-86.61,3.754784345626831,77.36,71,4.7,75,1538013360
161,Pedro Ii,BR,-4.43,-41.45,605.1652221679688,79.53,43,7.2,0,1538015903
162,Dubbo,AU,-32.25,148.6,264.134521484375,71.6,81,5.82,0,1538013600
163,Micheweni,TZ,-4.97,39.83,0.1495213806629181,74.67,100,10.78,92,1538015904
164,Belmonte,BR,-26.84,-53.58,588.5076293945312,62.25,97,3.29,12,1538015904
165,Dukat,RU,62.55,155.55,749.3877563476562,35.61,56,3.74,64,1538015904
166,Dangriga,BZ,16.97,-88.23,8.646222114562988,82.4,83,7.09,40,1538010000
167,Port Hedland,AU,-20.31,118.58,10,93.2,23,8.05,0,1538013600
168,San Patricio,MX,19.22,-104.7,0.9677748084068298,84.2,79,9.17,75,1538012460
169,Sitka,US,37.17,-99.65,576.9644775390625,52.71,61,8.66,0,1538015846
170,Gotsu,JP,35.01,132.22,18.90802764892578,73.4,49,8.05,40,1538013600
171,Along,IN,28.17,94.8,264.2484130859375,67.11,97,1.83,92,1538015906
172,Deder,ET,9.31,41.44,2294.968994140625,60,66,2.17,20,1538015906
173,Kozan,TR,37.45,35.82,133.5155487060547,68,64,4.7,0,1538013000
174,Male,MV,4.17,73.51,2.816571235656738,82.4,83,8.05,20,1538013600
175,Khash,IR,28.22,61.21,1414.692138671875,54.33,67,3.4,0,1538015907
176,San Jose,BO,-17.94,-63.35,519.9880981445312,77,78,4.7,12,1538013600
177,Alyangula,AU,-13.85,136.42,21.09955596923828,83.49,82,16.04,0,1538015907
178,La Rioja,AR,-29.41,-66.86,511.8056030273438,65.4,89,6.42,92,1538015908
179,Umm Lajj,SA,25.02,37.27,11.83994293212891,78.72,97,7.09,0,1538015908
180,Kenmare,IE,51.88,-9.58,12,48.21,100,3.85,0,1538015909
181,Hereford,US,34.82,-102.4,1166.09814453125,54.68,81,3.36,1,1538014500
182,Chernyshevskiy,RU,63.01,112.47,380.0687561035156,47.58,91,3.51,48,1538015909
183,Wahpeton,US,46.27,-96.61,294.3275451660156,60.8,66,5.82,90,1538014560
184,Norman Wells,CA,65.28,-126.83,61,32,91,5.82,75,1538013600
185,Saint-Philippe,RE,-21.36,55.77,29.17001724243164,69.8,52,8.05,0,1538013600
186,Bonanza,NI,14.03,-84.62,192.3466186523438,73.86,97,2.51,48,1538015910
187,Matay,EG,28.42,30.79,37.92964553833008,68.55,79,10,0,1538015910
188,Kirakira,SB,-10.46,161.92,9.832538604736328,78.09,100,28.9,100,1538015911
189,Sechura,PE,-5.56,-80.82,13.66311073303223,68.46,86,11.12,20,1538015904
190,Akdepe,TM,42.05,59.39,75.27076721191406,48.2,70,4.7,0,1538013600
191,Poddorye,RU,57.47,31.12,71.28318786621094,46.23,81,19.95,0,1538015911
192,Kabo,CF,7.69,18.62,419.9662170410156,69.27,97,6.53,88,1538015912
193,Kieta,PG,-6.22,155.63,43.40310287475586,81.51,94,13.8,8,1538015912
194,Coahuayana,MX,18.62,-100.35,943.9855346679688,65.13,92,2.39,8,1538015912
195,Ponta Do Sol,CV,17.2,-25.09,31.72919654846191,79.35,97,13.35,92,1538015912
196,Caravelas,BR,-17.73,-39.27,0,77.19,100,15.7,56,1538015877
197,Swellendam,ZA,-34.02,20.44,147.8667297363281,60.8,67,3.36,8,1538013600
198,Rosia De Amaradia,RO,45.05,23.75,543.067626953125,27.51,75,2.73,0,1538015913
199,Bol,TD,13.47,14.72,279.7948608398438,76.11,64,1.39,32,1538015913
200,Grindavik,IS,63.84,-22.43,2.477333307266235,39.2,93,8.05,40,1538013600
201,Bowen,AU,-20.01,148.25,3.288888931274414,80.6,44,6.93,40,1538010000
202,Mount Gambier,AU,-37.83,140.78,43.86133193969727,59.28,83,6.76,48,1538015914
203,Cervo,ES,43.67,-7.41,65.55818939208984,68.55,88,5.19,8,1538015915
204,Itoman,JP,26.12,127.67,6.3506760597229,86,70,18.34,75,1538013600
205,Vestmanna,FO,62.16,-7.17,225.9813385009766,44.6,93,2.24,92,1538014800
206,Coquimbo,CL,-29.95,-71.34,65.98302459716797,55.4,87,2.24,90,1538013600
207,Zyryanka,RU,65.73,150.89,43,37.23,71,4.18,88,1538015915
208,Nishihara,JP,35.74,139.53,62.86198043823242,64.4,87,8.05,90,1538015100
209,Kipushi,CD,-11.76,27.24,1355.296875,58.56,55,4.41,0,1538015916
210,Cayenne,GF,4.94,-52.33,10.96581745147705,78.8,88,3.36,20,1538013600
211,Lavrentiya,RU,65.58,-170.99,2,43.71,94,11.23,56,1538015916
212,Roald,NO,62.58,6.12,3.979628086090088,48.2,81,13.87,92,1538014800
213,Preston,US,42.1,-111.88,1436.755493164062,60.08,6,3.36,1,1538013060
214,Nazare,PT,39.6,-9.07,23.94339561462402,66.2,88,1.12,0,1538013600
215,Torres,BR,-29.34,-49.73,7.734840869903564,66.03,96,1.83,36,1538015918
216,Atar,MR,20.52,-13.05,224,73.86,34,5.19,0,1538015868
217,Northam,AU,-31.65,116.67,151.3457489013672,62.6,59,14.99,20,1538013600
218,San Cristobal,EC,-1.02,-79.44,97.5453109741211,62.43,98,2.17,92,1538015919
219,Beloha,MG,-25.17,45.06,154.5306701660156,57.93,81,2.95,0,1538015919
220,Dalbandin,PK,28.9,64.41,852.138671875,62.34,47,1.72,0,1538015919
221,Altay,CN,47.83,88.13,840.3573608398438,42.36,56,2.95,0,1538015919
222,Jiwani,PK,25.05,61.74,0,78.36,95,3.74,48,1538015920
223,Poum,NC,-20.23,164.02,0,73.95,98,12.68,36,1538015920
224,Port Blair,IN,11.67,92.75,0,82.41,100,7.54,56,1538015878
225,Orlik,RU,52.51,99.83,1374.980834960938,30.03,55,2.39,0,1538015920
226,Crotone,IT,39.09,17.12,2.503864765167236,68.01,100,27.56,8,1538015920
227,Tasiilaq,GL,65.61,-37.64,67.22933197021484,35.6,69,1.12,12,1538013000
228,Kyabe,TD,9.45,18.94,391.9104309082031,70.98,92,6.64,24,1538015921
229,Lagoa,PT,37.14,-8.45,49.86245346069336,77,73,14.99,0,1538013600
230,Bubaque,GW,11.28,-15.83,18.47377777099609,79.35,100,15.03,68,1538015922
231,Hirara,JP,24.8,125.28,22.70339584350586,87.8,70,20.8,75,1538013600
232,Kinsale,IE,51.71,-8.52,31.39021110534668,51.8,100,4.7,75,1538015400
233,Vila Franca Do Campo,PT,37.72,-25.43,32.08849334716797,73.4,83,18.34,40,1538013600
234,Hebron,US,40.17,-97.59,448.7123718261719,54.68,65,6.93,1,1538014500
235,Severo-Kurilsk,RU,50.68,156.12,11.84739112854004,50.91,86,14.58,0,1538015825
236,Hithadhoo,MV,-0.6,73.08,1.010560035705566,81.33,100,16.82,80,1538015826
237,Tiksi,RU,71.64,128.87,33.85548782348633,33.81,92,10.67,0,1538015923
238,Sabzevar,IR,36.21,57.68,970.4843139648438,46.23,72,2.51,0,1538015924
239,Farmington,US,36.73,-108.21,1620.3935546875,68,7,5.82,1,1538013180
240,Portland,AU,-33.35,149.98,917.5521850585938,58.2,71,3.06,0,1538015924
241,Xingyi,CN,24.19,102.82,1813.42431640625,68.28,83,3.4,76,1538015924
242,Itarema,BR,-2.92,-39.92,20,76.65,84,15.14,0,1538015925
243,Busselton,AU,-33.64,115.35,0,60.09,100,10.45,44,1538015816
244,Husavik,IS,66.04,-17.34,26.36935615539551,35.6,100,2.24,75,1538013600
245,Batemans Bay,AU,-35.71,150.18,14.74106502532959,63.33,71,6.64,0,1538015857
246,Porto Santo,PT,33.07,-16.34,62.38865661621094,68,82,3.36,20,1538013600
247,Necochea,AR,-38.55,-58.74,18.83950233459473,46.95,81,10,92,1538015743
248,Kichera,RU,55.93,110.1,465,40.29,97,2.62,88,1538015926
249,Ngaoundere,CM,7.32,13.58,1130.28125,62.88,96,2.95,76,1538015927
250,Shemgang,BT,27.22,90.66,1852.15234375,69.72,90,1.72,76,1538015927
251,Longyearbyen,SJ,78.22,15.64,16.40800094604492,23,67,13.87,40,1538013000
252,U Thong,TH,14.38,99.89,14.82351207733154,88.35,69,6.76,0,1538015928
253,Esmeraldas,EC,-1.87,-79.8,7.720047473907471,73.4,78,16.11,40,1538013600
254,Jalu,LY,29.03,21.55,40.45962142944336,72.06,73,8.43,0,1538015928
255,Iwanai,JP,42.97,140.51,10.29697513580322,60.36,100,2.84,92,1538015929
256,Isangel,VU,-19.55,169.27,0,68.46,100,21.63,92,1538015929
257,Boyolangu,ID,-8.09,111.9,87.93204498291016,86.01,46,6.2,0,1538015929
258,Chokurdakh,RU,70.62,147.9,30.18990135192871,36.87,95,16.71,92,1538015876
259,Palmer,US,61.6,-149.11,70.85404205322266,55.94,71,4.7,1,1538013360
260,Haines Junction,CA,60.75,-137.51,594,40.2,60,1.83,36,1538015893
261,Mega,ET,4.06,38.32,1710.86572265625,60.36,97,7.43,92,1538015930
262,Sao Joao Da Barra,BR,-21.64,-41.05,8,74.85,97,30.91,0,1538015910
263,Araouane,ML,18.9,-3.53,271.1693115234375,76.56,36,2.95,0,1538015930
264,Kolpny,RU,52.23,37.04,182.8026733398438,41.91,69,19.28,92,1538015931
265,Rawson,AR,-43.3,-65.11,9.689777374267578,42.36,68,10.56,76,1538015931
266,Wattegama,LK,7.35,80.68,489.6489868164062,75.84,94,3.96,44,1538015931
267,Hofn,IS,64.25,-15.21,0,40.92,100,8.66,12,1538015931
268,Mosetse,BW,-20.64,26.64,1000.256225585938,66.75,30,7.31,0,1538015932
269,Corner Brook,CA,48.95,-57.95,14.96444416046143,60.8,82,11.41,90,1538013600
270,Manoel Urbano,BR,-8.84,-69.26,165.9659881591797,81.6,65,3.62,0,1538015932
271,Karratha,AU,-20.74,116.85,31.21186447143555,99.6,10,6.98,0,1538015918
272,Vao,NC,-22.67,167.48,75.80432891845703,69.63,100,22.08,12,1538015933
273,Bethel,US,60.79,-161.76,0,55.04,59,12.75,90,1538013180
274,The Valley,AI,18.22,-63.06,26.54723358154297,82.4,78,13.87,20,1538013600
275,Salinas,EC,0.49,-78.13,1621.193969726562,49.65,100,1.16,56,1538015934
276,Khromtau,KZ,50.26,58.44,429.3312377929688,57.3,43,12.91,80,1538015934
277,Belen,PY,-23.47,-57.26,99.08711242675781,77.19,77,3.62,36,1538015934
278,Barranca,PE,-10.75,-77.76,59.57724380493164,60.45,100,8.21,36,1538015934
279,Lingyuan,CN,41.24,119.4,397.8088989257812,65.85,56,9.44,0,1538015935
280,Grand-Lahou,CI,5.24,-5,67.39061737060547,75.84,90,4.41,92,1538015935
281,Port Hardy,CA,50.7,-127.42,0,60.8,59,11.41,40,1538013600
282,Babaeski,TR,41.43,27.09,63.13866806030273,54.51,57,17.49,48,1538015936
283,Saldanha,ZA,-33.01,17.94,16.07754135131836,57.2,93,10.29,88,1538013600
284,Sao Filipe,CV,14.9,-24.5,60.35427093505859,78.45,97,8.21,80,1538015936
285,Santana,RO,46.35,21.5,108.592887878418,33.8,100,1.95,0,1538013600
286,Fairbanks,US,64.84,-147.72,135.4856719970703,50,64,4.7,90,1538013480
287,Mikhaylovka,RU,52.96,103.29,528.4444580078125,44.43,84,8.1,48,1538015937
288,Nagato,JP,34.35,131.14,320.4927368164062,75.2,60,8.05,40,1538013600
289,Luena,AO,-11.78,19.91,1345.468994140625,69.36,74,2.62,100,1538015937
290,Den Helder,NL,52.96,4.76,3.526455879211426,62.6,93,5.82,0,1538015100
291,Preveza,GR,38.96,20.75,10.62222194671631,64.4,42,24.16,20,1538013000
292,Oranjemund,NA,-28.55,16.43,25.04888916015625,55.95,98,10.22,0,1538015938
293,Rudnaya Pristan,RU,44.36,135.82,0,56.85,65,4.18,92,1538015938
294,Salamanca,ES,40.97,-5.66,805.543212890625,55.4,87,7.2,0,1538015400
295,Quatre Cocos,MU,-20.21,57.76,42.70302963256836,71.6,78,11.41,40,1538013600
296,Thinadhoo,MV,0.53,72.93,-404.4869995117188,80.61,100,22.19,48,1538015939
297,Hualmay,PE,-11.1,-77.61,42.24533462524414,55.5,91,4.74,20,1538015939
298,Shyroke,UA,47.96,38.23,152.6700286865234,33.27,84,6.31,0,1538015940
299,Dryden,CA,49.79,-92.84,366,41,93,3.36,90,1538013600
300,Ola,RU,59.58,151.3,7,59,62,2.24,0,1538013600
301,Evensk,RU,61.92,159.24,2,44.88,100,6.42,8,1538015913
302,Shingu,JP,33.72,135.99,7.792495250701904,64.4,93,9.17,75,1538013600
303,Nanyang,CN,33,112.53,133.1146697998047,69.18,84,5.19,56,1538015941
304,Naze,JP,28.37,129.48,252.3103332519531,82.4,78,28.86,75,1538013600
305,Manavalakurichi,IN,8.13,77.3,0,82.4,78,8.05,40,1538015400
306,Nargana,PA,9.44,-78.59,0,80.16,100,8.21,68,1538015942
307,Baculin,PH,7.45,126.58,24.57539176940918,85.29,80,13.69,0,1538015942
308,Zyryanovsk,KZ,49.74,84.27,457.5013427734375,46.68,71,2.95,0,1538015942
309,Massakory,TD,13,15.73,286.8213500976562,71.52,78,2.84,0,1538015943
310,Buraydah,SA,26.33,43.97,614.7882690429688,87.8,27,6.93,0,1538013600
311,Katsuura,JP,33.93,134.5,38.92872619628906,69.8,83,5.82,75,1538013600
312,Katpadi,IN,12.98,79.14,219.5058746337891,78.72,88,2.73,12,1538015944
313,Carroll,US,42.07,-94.87,388.1199951171875,55.4,71,4.7,1,1538014500
314,Maniitsoq,GL,65.42,-52.9,44.15235900878906,35.52,100,19.95,88,1538015894
