,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date,Adj Temp
70,Broome,AU,-17.97,122.23,19.75914192,78.8,74,6.93,40,1538008200,78.57310696
71,Nantucket,US,41.28,-70.1,13.98624611,71.6,96,17.22,1,1538007300,71.43939678
72,Tsiroanomandidy,MG,-18.77,46.05,864.1361694,58.12,69,3.42,20,1538009600,48.19717621
73,Cerritos,MX,20.89,-100.6,2066.901367,68.02,81,5.32,12,1538009600,44.28589561
74,Bethel,US,60.79,-161.76,0,55.04,63,9.17,40,1538005980,55.04
75,Atikokan,CA,48.76,-91.62,397.4705505,45.79,83,7.23,92,1538009601,41.22586952
76,Hithadhoo,MV,-0.6,73.08,1.010560036,80.71,100,11.81,88,1538009602,80.6983958
77,Saskylakh,RU,71.97,114.09,65.09505463,23.11,85,8.68,0,1538009602,22.36251739
78,Ulladulla,AU,-35.36,150.48,22.79999924,60.8,51,5.82,0,1538006400,60.53818898
79,Hovd,MN,48.01,91.64,1391.369751,29.77,77,3.87,0,1538009373,13.79298463
80,Iskateley,RU,67.68,53.15,10,39.76,100,13.71,56,1538009603,39.6451706
81,Klaksvik,FO,62.23,-6.59,0,46.4,93,8.05,92,1538007600,46.4
82,Tasiilaq,GL,65.61,-37.64,67.22933197,35.6,69,3.36,0,1538005800,34.82800961
83,Cabo San Lucas,MX,22.89,-109.91,13.43345356,83.95,100,7,0,1538009454,83.79574446
84,Komsomolskiy,RU,67.55,63.78,220.2922211,42.91,96,12.15,68,1538009604,40.38039764
85,Praia Da Vitoria,PT,38.73,-27.07,42.2383461,73.4,94,21.32,75,1538006400,72.91497961
86,Kahului,US,20.89,-156.47,1,89.06,62,11.41,40,1538009100,89.04851706
87,Atuona,PF,-9.8,-139.03,18.34078026,79,100,9.91,0,1538009605,78.78939392
88,Hays,US,38.88,-99.33,611.8875732,68,35,8.05,1,1538006160,60.97373171
89,Kokopo,PG,-4.34,152.27,3.498666763,81.43,100,13.04,68,1538009605,81.38982502
90,Plouzane,FR,48.38,-4.62,62.11911011,57.2,76,5.82,0,1538008200,56.48668999
91,Aguimes,ES,27.91,-15.45,297.552948,73.4,83,21.92,20,1538008200,69.98321735
92,Kattivakkam,IN,13.22,80.32,6.020444393,80.6,88,3.36,40,1538008200,80.5308676
93,Sarlat-La-Caneda,FR,44.89,1.22,162.8448334,51.8,76,4.7,0,1538008200,49.93006255
94,Tuatapere,NZ,-46.13,167.69,25,45.34,100,7.56,92,1538009607,45.0529265
95,Pevek,RU,69.7,170.27,1.159379721,44.35,92,13.27,76,1538009607,44.33668691
96,Castro,CL,-42.48,-73.76,7.788067341,46.06,82,2.08,92,1538009607,45.97057009
97,Rorvik,NO,64.86,11.24,0,46.42,100,16.28,88,1538009606,46.42
98,Kuldur,RU,49.22,131.63,369,48.94,60,3.2,0,1538009607,44.70279514
99,Khatanga,RU,71.98,102.47,37.58133316,27.79,86,18.3,44,1538009608,27.35845581
100,Luderitz,NA,-26.65,15.16,35.71016693,53.17,84,13.49,0,1538009608,52.7599423
101,Nyimba,ZM,-14.56,30.81,708.1689453,76.66,41,6.44,100,1538009608,68.52813849
102,Provideniya,RU,64.42,-173.23,12.18267536,50,76,13.42,75,1538006400,49.86010707
103,Hastings,US,40.59,-98.39,585.2910156,68,35,5.82,1,1538007300,61.27913839
104,Saint George,BM,32.38,-64.68,16.84353828,77,69,11.41,75,1538006100,76.80658666
105,Thompson,CA,55.74,-97.86,205.965332,41,60,5.82,75,1538006400,38.63491245
106,Boden,SE,65.83,21.69,11.69079876,42.8,81,27.51,92,1538007600,42.66575526
107,New Norfolk,AU,-42.78,147.06,26.50635147,59,44,13.87,0,1538008200,58.69562916
108,Sitka,US,37.17,-99.65,576.9644775,62.17,48,7.9,0,1538009610,55.54475152
109,Carnarvon,AU,-24.87,113.63,0,66.67,89,20.09,0,1538009611,66.67
110,Konevo,RU,56.45,43.2,115.1370697,39.2,80,13.42,0,1538006400,37.87788794
111,Mar Del Plata,AR,-46.43,-67.52,29.30946541,43,77,12.71,64,1538009611,42.66344117
112,Katsuura,JP,33.93,134.5,38.9287262,64.4,100,4.7,75,1538006400,63.95298377
113,Cape Town,ZA,-33.93,18.42,26.87131691,57.2,87,25.28,75,1538006400,56.89143828
114,Floro,NO,61.6,5.03,2.49333334,50,76,11.41,92,1538007600,49.9713692
115,Atar,MR,20.52,-13.05,224,80.62,27,6.44,0,1538009613,78.04782144
116,Nanma,CN,35.7,113.14,1009.928772,48.85,87,2.42,8,1538009613,37.25304851
117,Vallenar,CL,-28.58,-70.76,385.8197327,56.59,82,1.41,56,1538009613,52.15965516
118,Bubaque,GW,11.28,-15.83,18.47377777,77.83,100,8.68,76,1538009613,77.61786672
119,Novopokrovka,RU,45.85,134.51,106.288002,52.54,70,3.2,36,1538009614,51.31950125
120,Jamestown,SH,-15.94,-5.72,399,66.22,100,16.62,92,1538009369,61.63830694
121,Rafai,CF,4.95,23.92,563.8951416,70.99,91,2.75,0,1538009614,64.51482592
122,Fiumicino,IT,41.77,12.23,2.407628059,59,54,8.05,0,1538007600,58.97235335
123,Nobres,BR,-14.72,-56.34,211.6977844,77.74,79,1.86,12,1538009615,75.30908704
124,Iralaya,HN,15,-83.23,4.15762949,81.52,93,4.76,80,1538009615,81.47225819
125,East London,ZA,-33.02,27.91,34.73191833,67.57,100,19.86,0,1538009615,67.17117547
126,Barrow,US,39.51,-90.4,199.1559296,62.06,63,3.36,1,1538008500,59.77310441
127,Half Moon Bay,US,37.46,-122.43,24.76271248,95,93,6.93,90,1538008500,94.71565126
128,Axim,GH,4.87,-2.24,18.3234539,78.19,99,9.24,92,1538009616,77.97959288
129,Kendari,ID,-3.99,122.52,1.013816833,79.45,74,2.42,0,1538009616,79.4383584
130,Matagami,CA,49.76,-77.63,260.9902344,33.8,100,3.36,40,1538008620,30.8030648
131,Alice Springs,AU,-23.7,133.88,581.9558716,78.8,6,8.05,0,1538008200,72.11743564
132,Nueva Italia,PY,-25.61,-57.47,120.7777786,71.89,93,7.78,0,1538009617,70.50311601
133,Hermanus,ZA,-34.42,19.24,23.73564339,54.7,78,8.79,32,1538009617,54.42744503
134,Gobabis,NA,-22.45,18.97,1440.064941,59,26,1.3,88,1538006400,42.46382068
135,Severo-Kurilsk,RU,50.68,156.12,11.84739113,49.48,92,14.72,12,1538009618,49.34395712
136,Mastic Beach,US,40.77,-72.85,5.691422462,73.94,100,12.75,90,1538007300,73.87464574
137,Stornoway,GB,58.21,-6.39,3.102343082,48.2,100,3.36,92,1538007600,48.16437598
138,Hobart,AU,-42.88,147.33,9.245833397,59,44,13.87,0,1538008200,58.89383065
139,Kasongo-Lunda,CD,-6.48,16.82,547.7662354,69.1,94,2.19,20,1538009619,62.81003319
140,Ancud,CL,-41.87,-73.83,4.688848495,48.67,71,4.21,92,1538009619,48.61615823
141,Bud,NO,62.91,6.91,12.40785027,48.2,81,16.11,92,1538007600,48.0575214
142,Chuy,UY,-33.69,-53.46,22.76799965,60.28,96,9.35,88,1538009379,60.01855643
143,Tottori,JP,35.5,134.23,7.326224804,71.6,73,23.04,75,1538006400,71.5158734
144,Beira,MZ,-19.84,34.84,8.747237206,73.4,100,13.27,0,1538006400,73.299556
145,Constitucion,MX,23.99,-104.67,1884.294189,71.6,56,9.17,90,1538003700,49.96276288
146,Mehamn,NO,71.03,27.85,40.32444382,30.94,91,3.98,8,1538009621,30.47695683
147,Ponta Do Sol,CV,17.2,-25.09,31.72919655,79.63,97,13.71,92,1538009621,79.26565554
148,Cap Malheureux,MU,-19.98,57.61,0,71.6,73,11.41,20,1538006400,71.6
149,Yellowknife,CA,62.45,-114.38,199.0788269,32,96,17.22,75,1538006400,29.71398978
150,Sumbe,AO,-11.2,13.84,9.895999908,69.37,100,5.99,24,1538009622,69.25636483
151,Mount Isa,AU,-20.73,139.49,347.8130798,87.8,16,14.99,0,1538008200,83.80608327
152,Manica,MZ,-18.94,32.88,727.0640259,63.52,83,2.64,0,1538009622,55.17116741
153,Carlsbad,US,33.16,-117.35,14.74075031,78.08,84,6.93,90,1538006160,77.91073285
154,Hami,CN,42.84,93.51,769.6682129,42.01,62,9.24,0,1538009623,33.17194609
155,Haines Junction,CA,60.75,-137.51,594,46.51,46,2.42,76,1538009623,39.68913364
156,Sheridan,US,39.65,-105.03,1616.852051,73.4,5,1.86,1,1538008500,54.83378491
157,Camopi,GF,3.17,-52.33,57.10646057,79.27,69,5.1,0,1538009624,78.61424994
158,Necochea,AR,-38.55,-58.74,18.83950233,47.41,83,11.7,88,1538009624,47.19366713
159,West Wendover,US,40.74,-114.07,1357.114502,71.06,4,3.09,1,1538006160,55.4763356
160,Matara,LK,5.95,80.54,9.315555573,77.74,100,5.1,88,1538009625,77.63303003
161,Tianpeng,CN,28.88,112.34,34.50704193,64.87,100,7.23,92,1538009625,64.47375771
162,Port Elizabeth,ZA,-33.92,25.57,34.40129089,55.4,87,3.36,0,1538006400,55.00497204
163,Sechura,PE,-5.56,-80.82,13.66311073,70.54,83,12.71,0,1538009626,70.38310732
164,Brae,GB,60.4,-1.35,14.02880001,50,76,10.29,92,1538007600,49.83890813
165,Lima,PE,-12.06,-77.04,138.9790649,60.64,72,2.19,0,1538009511,59.04411174
166,Dunmore Town,BS,25.5,-76.65,0,80.26,100,14.5,76,1538009561,80.26
167,Padang,ID,-0.92,100.36,8.128970146,81.25,100,3.09,8,1538009627,81.15665552
168,Ampanihy,MG,-24.69,44.75,234.6481171,62.8,67,2.64,0,1538009627,60.10554975
169,Armeria,MX,18.93,-103.97,30.46919632,71.62,100,1.3,80,1538009628,71.27012405
170,Jumla,NP,29.28,82.18,2396.733643,35.17,88,2.75,0,1538009628,7.648451386
171,Kavaratti,IN,10.57,72.64,-9.331127167,82.96,100,11.03,88,1538009628,83.06714877
172,Shiyan,CN,32.65,110.78,243.9745483,56.86,97,2.75,92,1538009629,54.0584549
173,Cap-Aux-Meules,CA,47.38,-61.86,10.88622189,62.6,88,24.16,75,1538006400,62.47499417
174,Hengshan,CN,22.21,110.15,89.5573349,76.93,88,4.21,12,1538009629,75.9016185
175,Douentza,ML,15.01,-2.95,299.5962219,73.33,73,3.09,0,1538009629,69.88975456
176,Lat Yao,TH,15.75,99.79,60.71164322,75.22,90,3.09,8,1538009630,74.52285184
177,Maragheh,IR,37.39,46.24,1452.015137,64.4,55,19.46,0,1538006400,47.72659731
178,Afyonkarahisar,TR,38.76,30.53,1052.307617,43.99,96,11.48,80,1538009630,31.90641477
179,Suwalki,PL,54.11,22.93,177.6938324,53.44,85,27.92,100,1538009630,51.39955238
180,Tebingtinggi,ID,3.33,99.16,23,77,88,3.36,40,1538006400,76.73589238
181,Faanui,PF,-16.48,-151.75,35.43472672,78.37,100,12.82,36,1538009631,77.96310516
182,Kloulklubed,PW,7.04,134.26,23.70294762,84.2,74,11.41,75,1538005800,83.92782047
183,Sattahip,TH,12.67,100.9,3.262727976,80.6,83,2.24,20,1538008200,80.56253429
184,Cidreira,BR,-30.17,-50.22,18.51212883,68.02,97,4.43,88,1538009632,67.80742634
185,Bela Palanka,RS,43.22,22.31,288.4043884,33.8,86,2.24,0,1538008200,30.48826971
186,Hofn,IS,64.25,-15.21,0,43.36,100,5.44,20,1538009632,43.36
187,Lompoc,US,34.64,-120.46,30.91554642,77,87,6.93,90,1538008500,76.64499864
188,Aklavik,CA,68.22,-135.01,5.6412673,32,96,5.82,75,1538006400,31.93522167
189,Lagoa,PT,37.14,-8.45,49.86245346,77,73,17.22,0,1538008200,76.42743244
190,Altamira,BR,-3.2,-52.21,98.78662109,84.31,69,3.98,12,1538009634,83.17563916
191,Bambous Virieux,MU,-20.34,57.76,9.323868752,71.6,73,11.41,20,1538006400,71.49293457
192,Fairview,CA,56.07,-118.38,660,46.4,81,4.7,90,1538006400,38.8212596
193,Bilibino,RU,68.06,166.44,289.3186646,38.14,68,4.65,76,1538009634,34.81777113
194,Hualmay,PE,-11.1,-77.61,42.24533463,61.99,85,4.76,0,1538009635,61.50489936
195,San Ramon,BO,-13.27,-64.62,137.0491791,86.02,53,4.54,8,1538009635,84.4462725
196,Norman Wells,CA,65.28,-126.83,61,33.8,74,6.93,90,1538006400,33.09954066
197,Rio Piracicaba,BR,-19.93,-43.17,619.1279907,69.19,57,6.55,0,1538009607,62.08059043
198,Roald,NO,62.58,6.12,3.979628086,48.2,70,13.87,92,1538007600,48.15430217
199,Camacha,PT,33.08,-16.33,242.2469788,71.6,82,2.24,20,1538008200,68.81829248
200,Kruisfontein,ZA,-34,24.73,240.0604401,54.61,92,4.21,12,1538009638,51.85340037
201,Kodiak,US,39.95,-94.76,292.7092896,64.04,38,2.75,1,1538005980,60.67883679
202,Ryotsu,JP,38.08,138.43,0,60.8,100,10.29,75,1538006400,60.8
203,Odessa,US,31.85,-102.37,886.729187,57.2,90,5.82,90,1538008080,47.01774195
204,Buala,SB,-8.15,159.59,146.3001709,79.72,100,13.94,68,1538009641,78.04004392
205,Korla,CN,41.76,86.15,945.5863037,34.63,81,3.98,0,1538009642,23.77188921
206,Mortka,RU,59.33,66.02,82,60.1,65,5.99,92,1538009642,59.15839892
207,Huitziltepec,MX,17.76,-99.48,1305.407471,79.27,57,2.42,0,1538009643,64.28008434
208,Macas,EC,-2.3,-78.12,1034.339355,67.39,85,3.42,0,1538009643,55.51274324
209,San Cristobal,EC,-1.02,-79.44,97.54531097,63.07,99,2.19,92,1538009646,61.94989305
210,Manokwari,ID,-0.87,134.08,14.94133377,78.73,100,1.97,64,1538009649,78.55842956
211,Kapaa,US,22.08,-159.32,5.705945969,84.02,79,14.99,75,1538006160,83.95447896
212,Wajima,JP,37.4,136.9,2.242344141,64.4,88,2.24,75,1538006400,64.3742513
213,Durusu,TR,37.53,40.83,900.7520752,73.4,42,4.7,0,1538007600,63.05671797
214,Kidal,ML,18.44,1.41,458.9093628,73.33,28,2.75,0,1538009652,68.06037132
215,Husavik,IS,66.04,-17.34,26.36935616,37.4,93,1.12,90,1538006400,37.09720227
216,Bluff,NZ,-46.6,168.33,40,50.02,98,15.5,64,1538009655,49.5606824
217,Te Anau,NZ,-45.41,167.72,214,45.79,82,3.65,68,1538009655,43.33265084
218,Klyuchi,RU,52.25,79.17,143.717392,46.69,83,2.75,0,1538009655,45.03970181
219,Saint-Pierre,PM,46.77,-56.17,9.231111526,55.4,87,23.04,0,1538006400,55.2939997
220,Damghan,IR,36.17,54.34,1160.415527,52.54,78,2.64,0,1538009656,39.21501812
221,Greeneville,US,36.16,-82.83,449.5164185,68,100,2.64,75,1538007720,62.83822994
222,Champerico,GT,14.3,-91.92,7.519383907,82.4,78,4.7,40,1538006400,82.31365537
223,Tromso,NO,69.65,18.96,2.832888842,39.2,80,2.24,75,1538005800,39.16747011
224,Sarai Sidhu,PK,30.59,71.97,139.0835571,80.6,74,3.2,44,1538006400,79.00291186
225,Nanortalik,GL,60.14,-45.24,1,37.87,95,6.67,92,1538009657,37.85851706
226,Altay,CN,47.83,88.13,840.3573608,18.97,67,1.74,0,1538009657,9.320226847
227,Costinesti,RO,43.95,28.63,11.54044437,39.2,64,8.05,0,1538008200,39.06748177
228,Hambantota,LK,6.12,81.12,0.504149318,78.01,100,9.91,64,1538009658,78.00421088
229,Tarakan,ID,3.3,117.63,60.57312012,76.39,100,3.76,64,1538009658,75.6944425
230,Ferkessedougou,CI,9.6,-5.2,317.9155579,68.38,99,9.69,92,1538009658,64.72939472
231,Aswan,EG,24.09,32.9,100.9939346,80.08,43,7.11,0,1538009659,78.92029271
232,Parana,BR,-7.52,-72.89,184.7693329,78.8,74,4.7,75,1538006400,76.67830484
233,Ishigaki,JP,24.34,124.16,11.83234406,84.2,83,17.22,75,1538006400,84.0641299
234,Dingle,IE,52.14,-10.27,8.13599968,54.79,99,11.59,0,1538009659,54.6965748
235,Laizhou,CN,37.18,119.93,40.19487762,63.88,100,4.43,0,1538009660,63.41844463
236,Talnakh,RU,69.49,88.39,78.85778046,41.92,95,20.54,100,1538009660,41.01448084
237,Sola,VU,-13.88,167.55,67.48950195,86,74,5.82,75,1538006400,85.2250221
238,Ekibastuz,KZ,51.72,75.32,201.7875214,44.26,80,2.98,88,1538009661,41.942886
239,Aljezur,PT,37.31,-8.8,11.48006535,74.14,82,15.17,8,1538009661,74.0081751
240,Omsukchan,RU,62.53,155.8,529.0978394,33.01,63,3.65,64,1538009661,26.93440126
241,Hasaki,JP,35.73,140.83,7.761064053,60.8,100,14.99,75,1538006400,60.71088017
242,Goundam,ML,16.42,-3.66,271.2349548,79.36,57,2.75,0,1538009662,76.24542529
243,Una,BR,-15.29,-39.07,28.39961052,75.67,100,8.12,92,1538009662,75.34388898
244,Cherskiy,RU,68.75,161.3,1,35.26,77,3.31,56,1538009662,35.24851706
245,Porangatu,BR,-13.44,-49.14,399.0559082,81.34,51,5.44,8,1538009663,76.75766495
246,Mabaruma,GY,8.2,-59.78,16.70473099,79.99,95,5.21,12,1538009663,79.79818058
247,Quatre Cocos,MU,-20.21,57.76,42.70302963,71.6,73,11.41,20,1538006400,71.10964367
248,Namtsy,RU,62.72,129.66,78.63395691,44.35,78,4.43,20,1538009664,43.44705099
249,Tocopilla,CL,-22.09,-70.2,9.096888542,58.03,100,3.87,8,1538009664,57.92554097
250,Upernavik,GL,72.79,-56.15,0,34.54,100,23.89,80,1538009664,34.54
251,Wanning,CN,18.8,110.4,9.346666336,83.23,98,6.22,76,1538009665,83.12267279
252,Los Llanos De Aridane,ES,28.66,-17.92,329.7692871,71.6,88,6.93,0,1538008200,67.81327906
253,Contamana,PE,-7.35,-75.01,133.9831085,81.7,77,2.42,0,1538009665,80.16148
254,Craigieburn,AU,-37.6,144.94,194.5467529,75.2,39,17.22,0,1538008200,72.96603131
255,Kushima,JP,31.5,131.29,96.27662659,69.8,88,18.34,75,1538006400,68.69446127
256,Surt,LY,31.21,16.59,9.993000031,77.02,94,14.05,92,1538009666,76.90525098
257,Coihaique,CL,-45.58,-72.07,305.9087524,50,98,13.87,40,1538006400,46.48726815
258,Lavrentiya,RU,65.58,-170.99,2,43.81,93,11.03,44,1538009667,43.78703412
259,Charters Towers,AU,-20.07,146.27,300.9297485,72.52,80,6.89,0,1538009668,69.06444175
260,Inhambane,MZ,-23.87,35.38,0.859555542,74.5,99,11.03,0,1538009668,74.49012978
261,Wajir,KE,1.75,40.07,258,75.04,75,12.71,8,1538009668,72.07740148
262,Finschhafen,PG,-6.6,147.85,19.84912682,73.51,96,3.09,80,1538009668,73.28207367
263,Morant Bay,JM,17.88,-76.41,9.87042141,86,70,14.99,20,1538006400,85.88665854
264,Benguela,AO,-12.58,13.4,8.851049423,69.46,100,5.66,44,1538009669,69.35836393
265,Hamilton,BM,32.3,-64.78,12.58555698,77,69,11.41,75,1538006100,76.8554808
266,Mucurici,BR,-18.09,-40.52,241.8667603,75.76,60,12.71,0,1538009670,72.9826585
267,Mahebourg,MU,-20.41,57.7,16.9208889,71.6,73,11.41,20,1538006400,71.40569845
268,Nurota,UZ,40.56,65.69,493.2229919,55.4,37,2.24,0,1538006400,49.73634998
269,Coquimbo,CL,-29.95,-71.34,65.9830246,55.4,87,8.05,75,1538006400,54.64232089
270,Najran,SA,17.54,44.22,1277.914673,73.4,38,2.75,0,1538006400,58.72578249
271,Seddon,NZ,-41.67,174.07,82,51.01,93,3.53,80,1538009671,50.06839892
272,Tsevie,TG,6.43,1.21,99.61955261,78.8,88,9.17,40,1538006400,77.65607465
273,Pio Xii,BR,-3.89,-45.17,40.58044434,83.41,64,9.46,48,1538009672,82.94401719
274,Manavalakurichi,IN,8.13,77.3,0,78.8,88,4.7,40,1538008200,78.8
275,Lahij,YE,13.06,44.88,136.7626648,65.32,99,2.75,0,1538009672,63.74956253
276,Navirai,BR,-23.07,-54.19,351.7037964,76.57,75,2.98,44,1538009673,72.53140641
277,Nishihara,JP,35.74,139.53,62.86198044,62.6,87,11.41,90,1538006820,61.87815965
278,Muros,ES,42.77,-9.06,103.7368393,60.8,82,3.36,0,1538008200,59.6087961
279,Rawson,AR,-43.3,-65.11,9.689777374,43.54,56,9.91,68,1538009673,43.42873287
280,Yenagoa,NG,4.92,6.26,3.156525135,74.14,99,2.42,80,1538009674,74.10375381
281,Dunedin,NZ,-45.87,170.5,61.02222061,49.39,71,10.25,32,1538009489,48.6892855
282,Deputatskiy,RU,69.3,139.9,555.31073,25.36,86,3.98,80,1538009674,18.98340021
283,Misratah,LY,32.38,15.09,11.70893955,72.61,100,16.4,92,1538009675,72.47554695
284,Puerto Del Rosario,ES,28.5,-13.86,22.77594185,73.4,73,2.24,0,1538008200,73.13846523
285,Marsa Matruh,EG,31.35,27.25,14.68118477,73.4,73,2.75,40,1538006400,73.23141684
286,Kirkland Lake,CA,48.15,-80.03,325,48.2,76,4.7,40,1538006400,44.4680445
