,City,Country,Latitude,Longitude,Elevation,Max Temp,Humidity,Wind Speed,Cloudiness,Date,Adj Temp,Elevation (ft)
24,Erdenet,MN,49.03,104.04,1360.106689453125,40.56,79,2.73,44,1538015870,56.178023508588865,4462.29243102539
25,Kita,ML,13.04,-9.49,332.3945007324219,72.69,81,2.73,8,1538015870,76.50686610824036,1090.533173782959
26,Butaritari,KI,3.07,172.79,8.440905570983887,83.94,100,6.98,8,1538015866,84.03692641221727,27.693260633506775
27,Ostrovnoy,RU,68.05,39.51,19,39.57,97,9.78,92,1538015871,39.78817586,62.33596
28,Georgetown,SH,-7.93,-14.42,1.622661471366882,75.21,100,17.6,56,1538015871,75.22863292431602,5.323692661719321
29,Kruisfontein,ZA,-34,24.73,240.0604400634766,54.06,93,4.63,44,1538015871,56.8165996296225,787.5998941778565
30,Kodiak,US,39.95,-94.76,292.7092895507812,53.06,77,3.36,1,1538013180,56.42116320935425,960.332345529785
31,Rikitea,PF,-23.12,-134.97,10.88686656951904,70.89,100,21.52,88,1538015864,71.01501323560579,35.71806731594084
32,Kununurra,AU,-15.77,128.74,50.72711181640625,89.6,43,5.82,90,1538013600,90.18249638136108,166.42753753173827
33,Jamestown,SH,-15.94,-5.72,399,65.58,100,16.49,68,1538015872,70.16169306,1309.05516
34,Valparaiso,CL,-33.04,-71.63,40.44077301025391,53.6,93,3.18,90,1538013600,54.06437897003037,132.67970572296144
35,Cape Town,ZA,-33.93,18.42,26.87131690979004,57.2,93,23.04,75,1538013600,57.508561719796106,88.16049137031555
36,Namibe,AO,-15.19,12.15,5.84401798248291,65.13,100,7.31,12,1538015827,65.19710650785177,19.17328795764923
37,San Juan De Uraba,CO,8.76,-76.53,22.03557014465332,78.45,100,3.85,80,1538015873,78.70303312983685,72.2951799533844
38,Hilo,US,19.71,-155.08,16.21504974365234,86,67,11.41,75,1538013360,86.18619644330337,53.19898380096434
39,Leningradskiy,RU,69.38,178.42,7.491461753845215,40.92,95,15.82,56,1538015874,41.0060240058317,24.578287380485534
40,Villarrica,CL,-39.28,-72.23,230.7168121337891,41.91,96,2.73,92,1538015874,44.55930731072357,756.9449459210206
41,Saint George,BM,32.38,-64.68,16.84353828430176,77,69,11.41,75,1538013300,77.19341333950634,55.26095414466859
42,Saint-Pierre,RE,-21.34,55.48,22.9430980682373,69.8,52,8.05,0,1538013600,70.06345421853169,75.27263386619566
43,Ancud,CL,-41.87,-73.83,4.688848495483398,45.69,98,5.97,88,1538015875,45.743841765942726,15.383361697921753
44,Lebu,CL,-37.62,-73.65,183.1880493164062,53.7,96,6.64,92,1538015875,55.803537379017335,601.010679719238
45,Fort Nelson,CA,58.81,-122.69,421.9190979003906,46.4,65,3.36,75,1538013600,51.24487168604431,1384.2490531555175
46,Paamiut,GL,61.99,-49.67,4.694559574127197,40.11,96,38.41,92,1538015875,40.16390734591613,15.402098833179474
47,Celestun,MX,20.87,-90.4,0,82.41,100,16.26,24,1538015875,82.41,0.0
48,Mayya,RU,61.74,130.28,150.0873870849609,46.4,61,3.74,0,1538013600,48.12344446065338,492.41270304382317
49,Khatanga,RU,71.98,102.47,37.58133316040039,32.46,84,20.4,56,1538015876,32.89154419380089,123.29834108596802
50,Flinders,AU,-34.58,150.85,18.02219581604004,64.4,48,8.05,0,1538010000,64.60694779322384,59.1279409210968
51,Ambalavao,MG,-21.83,46.94,1010.153747558594,50.37,93,2.39,24,1538015876,61.969534873990476,3314.1528211401373
52,Castro,CL,-42.48,-73.76,7.78806734085083,45.15,96,6.42,92,1538015824,45.239429909990946,25.551402854557036
53,Auki,SB,-8.77,160.7,40.97586822509766,76.92,100,16.15,92,1538015877,77.39052343627671,134.43526750762942
54,Beringovskiy,RU,63.05,179.32,29.9882984161377,45.78,96,25.21,92,1538015877,46.1243538314146,98.38680897560121
55,Puerto Ayora,EC,-0.74,-90.35,39.42396926879883,70.26,100,11.12,44,1538015836,70.71270307367547,129.34373533584593
56,Ushuaia,AR,-54.81,-68.31,0.5544959902763367,39.2,51,6.93,0,1538013600,39.20636724418659,1.8192126247382163
57,Torbay,CA,47.66,-52.73,0,48.2,81,17.22,90,1538013600,48.2,0.0
58,Nikolskoye,RU,59.7,30.79,25.57333374023438,48.2,66,20.13,40,1538013600,48.49365705693909,83.90201626831056
59,Muroto,JP,33.37,134.14,178.5870666503906,71.6,73,3.36,75,1538013600,73.65070457112243,585.9155917492675
60,Huarmey,PE,-10.07,-78.15,12,56.58,82,3.18,0,1538015863,56.71779528,39.37008
61,Kloulklubed,PW,7.04,134.26,23.70294761657715,86,74,13.87,75,1538013000,86.2721795253043,77.76557865837097
62,Dikson,RU,73.51,80.55,40.83399200439453,37.86,100,14.92,76,1538015848,38.32889428014694,133.96979432769774
63,Los Llanos De Aridane,ES,28.66,-17.92,329.769287109375,71.6,88,8.05,0,1538013600,75.38672093771972,1081.9202679199218
64,Provideniya,RU,64.42,-173.23,12.1826753616333,50,76,13.42,75,1538013600,50.139892930217115,39.969408633461
65,Tautira,PF,-17.73,-149.15,-324.5338134765625,78.8,61,4.7,75,1538013600,75.07339769187743,-1064.7435166064454
66,Cidreira,BR,-30.17,-50.22,18.51212882995605,67.83,98,4.97,92,1538015830,68.04257366462666,60.73533275047301
67,Pevek,RU,69.7,170.27,1.159379720687866,44.61,91,14.03,64,1538015880,44.62331308776987,3.8037393628215783
68,Conde,BR,-11.81,-37.61,6.234748840332031,75.3,90,8.1,88,1538015880,75.3715932468486,20.45521338531494
69,Tura,RU,64.27,100.22,199.5959777832031,35.88,77,4.85,8,1538015880,38.17194863712586,654.842467750244
70,Batagay-Alyta,RU,67.8,130.41,503.2396850585938,23.1,85,6.64,92,1538015881,28.87867110914673,1651.0488883276369
71,Thompson,CA,55.74,-97.86,205.96533203125,37.4,74,3.36,75,1538013600,39.76508754979492,675.7392999414062
72,Constitucion,MX,23.99,-104.67,1884.294189453125,68,64,6.93,90,1538012700,89.63723711983887,6182.067748525391
73,Buchanan,LR,5.88,-10.05,7.021049022674561,77,94,5.82,75,1538013600,77.08062228466443,23.03493847555161
74,Hermanus,ZA,-34.42,19.24,23.73564338684082,53.43,87,8.21,20,1538015867,53.70255496887249,77.87284824928284
75,Margate,ZA,-30.86,30.37,41.07110977172852,66.39,93,16.15,0,1538015882,66.86161708924217,134.7477397834778
76,Puerto Del Rosario,ES,28.5,-13.86,22.77594184875488,73.4,73,3.36,0,1538013600,73.66153477369275,74.72422105506895
77,Pangnirtung,CA,66.15,-65.72,-0.4377046525478363,25.44,82,7.2,0,1538015882,25.434973863737074,-1.4360389322650433
78,Ixtapa,MX,20.71,-105.21,31.81302070617676,84.2,83,0.94,90,1538012820,84.56530700798778,104.37343085365296
79,Niceville,US,30.52,-86.48,15.67468643188477,78.98,93,4.74,75,1538014020,79.15999148381616,51.42613823318482
80,Tuktoyaktuk,CA,69.44,-133.03,0,30.2,74,17.22,75,1538013600,30.2,0.0
81,Talnakh,RU,69.49,88.39,78.85778045654297,43.35,93,20.96,100,1538015883,44.25551916151566,258.7197604330444
82,Port Alfred,ZA,-33.59,26.89,19.96259117126465,62.79,94,13.8,0,1538015884,63.01922923666416,65.49406761833191
83,Hailar,CN,49.2,119.7,623.7797241210938,61.8,53,18.28,0,1538015884,68.96282514529906,2046.5214700854492
84,East London,ZA,-33.02,27.91,34.73191833496094,68.1,100,21.18,8,1538015856,68.49882453432525,113.94986695007324
85,Kristiansund,NO,63.12,7.73,2.04622220993042,48.2,75,26.4,92,1538014800,48.2234966468633,6.713327675228119
86,Avarua,CK,-21.21,-159.78,19.53422927856445,80.6,74,5.82,75,1538013600,80.82431038275199,64.0886807862854
87,Upernavik,GL,72.79,-56.15,0,34.53,100,20.29,76,1538015819,34.53,0.0
88,Petkovci,BA,44.45,19.08,183.6680908203125,31.38,83,2.06,0,1538015885,33.4890496668042,602.5856190869141
89,Esperance,AU,-33.86,121.89,12.19911098480225,59.73,79,7.2,80,1538015886,59.870081659491824,40.02333128337861
90,Mar Del Plata,AR,-46.43,-67.52,29.3094654083252,42.18,87,11.45,64,1538015886,42.51655883271587,96.15966649024965
91,New Norfolk,AU,-42.78,147.06,26.50635147094727,64.4,36,13.87,20,1538013600,64.7043708435598,86.96309815994263
92,San Borja,BO,-14.86,-66.75,195.5564422607422,76.2,82,1.95,32,1538015886,78.44556289309357,641.5893980267334
93,Bredasdorp,ZA,-34.53,20.04,80.48450469970703,60.8,67,3.36,56,1538013600,61.72419873839645,264.0567823989868
94,San Carlos De Bariloche,AR,-41.13,-71.31,769,35.6,93,6.93,90,1538013600,44.43038086,2522.96596
95,Guerande,FR,48.47,-4.17,134.3359985351562,57.2,58,10.29,0,1538013600,58.74257221101929,440.73491743408186
96,Kurchum,KZ,48.57,83.65,421.9730834960938,54.33,72,5.19,0,1538015888,59.17549159940063,1384.4261712573243
97,Vaini,TO,-21.2,-175.2,20,80.6,65,8.05,40,1538013600,80.82965879999999,65.6168
98,Piopio,NZ,-38.47,175.01,136.7178497314453,54.33,67,11.12,64,1538015888,55.8999228653952,448.54939011291503
99,Bilma,NE,18.69,12.92,358.260009765625,70.08,31,2.95,0,1538015888,74.19387819653808,1175.3937704394532
100,Mirnyy,RU,56.57,36.46,136.0675506591797,43.35,94,29.57,92,1538015889,44.912455520166326,446.4158629046631
101,Akhtanizovskaya,RU,45.32,37.1,4.757333278656006,42.8,93,6.71,88,1538013600,42.85462817259881,15.60804931394577
102,Bambous Virieux,MU,-20.34,57.76,9.323868751525879,71.6,78,11.41,40,1538013600,71.70706542544164,30.590121554756163
103,Tshela,CD,-4.99,12.94,133.8586120605469,69.09,89,4.63,36,1538015889,70.62709041077454,439.1686887927247
104,Yelizovo,RU,53.19,158.38,28.7343864440918,60.8,57,17.9,12,1538013600,61.12995523547432,94.27292442123414
105,Nikki,BJ,9.94,3.21,403.2384948730469,72.6,96,8.77,12,1538015890,77.2303634423175,1322.960983519287
106,Bolgar,RU,54.97,49.03,83.1351089477539,41,80,8.95,75,1538013600,41.95463546794052,272.7529908401489
107,Trabzon,TR,41.01,39.72,8.796103477478027,60.8,72,13.87,75,1538013000,60.90100512846567,28.85860813304901
108,Loveland,US,40.4,-105.08,1520.410278320312,62.6,5,4.7,1,1538013360,80.05878000133545,4988.222857524413
109,Sobolevo,RU,54.43,31.9,186.6497802734375,45.96,93,29.12,92,1538015891,48.10328822789307,612.3680651123046
110,Visnes,NO,59.36,5.22,23.24944305419922,53.6,76,14.99,92,1538014800,53.866971959624784,76.27770274993897
111,Charters Towers,AU,-20.07,146.27,300.9297485351562,77.64,71,7.09,0,1538015892,81.09555824664429,987.3023561840819
112,Kahului,US,20.89,-156.47,1,87.98,70,11.41,40,1538014320,87.99148294,3.28084
113,Isla Vista,US,34.41,-119.86,11.94700336456299,64.4,83,4.7,1,1538013360,64.53718672281508,39.19620651859284
114,Anand,IN,22.56,72.96,43.15354919433594,78.8,83,3.74,0,1538013600,79.2955296161856,141.57989033874512
115,Vaitape,PF,-16.52,-151.75,0,78.27,100,14.81,32,1538015892,78.27,0.0
116,Cabo San Lucas,MX,22.89,-109.91,13.43345355987549,80.6,83,4.29,75,1538012880,80.75425554122083,44.0730117773819
117,Bud,NO,62.91,6.91,12.40785026550293,48.2,81,16.11,92,1538014800,48.342478600127755,40.70817146507263
118,Olenegorsk,RU,68.14,33.28,164,37.59,100,4.41,92,1538015893,39.47320216000001,538.05776
119,Lamu,KE,-2.27,40.9,16.80753326416016,72.69,100,11.34,92,1538015893,72.88299989602035,55.14282743438722
120,Port Elizabeth,ZA,-33.92,25.57,34.40129089355469,53.6,87,3.36,0,1538013600,53.995027959253235,112.86513121520996
121,Souillac,MU,-20.52,57.52,1.489344000816345,71.6,78,11.41,40,1538013600,71.61710204780073,4.886299371638297
122,Nemuro,JP,43.32,145.57,3.974807977676392,57.2,76,5.82,75,1538013600,57.245642481519184,13.040709005479814
123,Lompoc,US,34.64,-120.46,30.91554641723633,64.4,86,9.17,75,1538013480,64.75500136457634,101.42896130752564
124,Virginia Beach,US,36.85,-75.98,4.478214263916016,78.98,87,3.36,40,1538013900,79.0314230656997,14.69230448562622
125,Ilulissat,GL,69.22,-51.1,15.22115135192871,33.8,59,13.87,56,1538013000,33.97478356770511,49.938162201461786
126,Nuevo Progreso,MX,17.14,-95.05,119.6347274780273,72.6,99,6.42,76,1538015895,73.97375839754653,392.5023992990111
127,Xuddur,SO,4.12,43.89,493.4521179199219,70.53,85,10.78,8,1538015895,76.19628106294739,1618.9374465563965
128,Qaanaaq,GL,77.48,-69.36,3.892444372177124,20.49,100,8.43,56,1538015895,20.534696705179044,12.770487194013596
129,Palora,EC,-1.7,-77.97,876.7960815429688,57.21,100,2.39,12,1538015895,67.27819679659302,2876.6276561694335
130,La Crosse,US,43.8,-91.24,204.5261383056641,49.1,87,7.54,1,1538014500,51.44856137459564,671.017535598755
131,Havelock,US,34.88,-76.9,7.034690856933594,80.96,96,4.7,1,1538013420,81.0407789330287,23.079695151062012
132,Kayes,ML,14.44,-11.44,48.29244613647461,75.93,83,2.62,0,1538015845,76.48453926143837,158.43978898239135
133,Nara,ML,15.17,-7.29,265.9855041503906,77.91,71,2.62,36,1538015896,80.96429558502868,872.6558814367676
134,Nadvoitsy,RU,63.89,34.27,101.9690093994141,43.62,100,8.99,64,1538015897,44.79090401679291,334.5440047979738
135,Horsham,AU,-36.71,142.2,132.9475555419922,64.68,88,7.99,0,1538015897,66.20662880343536,436.1796581243896
136,Santa Cruz De La Palma,ES,28.68,-17.76,0,71.6,88,10.29,0,1538015400,71.6,0.0
137,Ajdabiya,LY,30.75,20.22,1.457955598831177,71.61,78,2.62,88,1538015897,71.62674161666405,4.783319046869279
138,Broken Hill,AU,-31.97,141.45,317.6385192871094,80.88,30,14.03,0,1538015898,84.52742405866272,1042.1211596179198
139,Arraial Do Cabo,BR,-22.97,-42.02,8.56655216217041,74.31,86,24.32,0,1538015827,74.40836920448507,28.10548699573517
140,Hobart,AU,-42.88,147.33,9.245833396911621,64.4,36,13.87,20,1538013600,64.50616935014673,30.334100041923524
141,Great Falls,US,47.5,-111.29,1019.585571289062,61.7,33,9.17,90,1538013480,73.40783993997803,3345.0971257080064
142,Jiayuguan,CN,39.77,98.29,1659.739501953125,43.08,69,5.19,0,1538015898,62.138689116557615,5445.339747587891
143,Sinnamary,GF,5.38,-52.96,4.192888736724854,81.96,96,16.71,0,1538015899,82.00814668979048,13.756197082996371
144,Bathsheba,BB,13.22,-59.52,-0.09775867313146591,82.4,74,17.22,40,1538013600,82.39887744302196,-0.3207305651566386
145,Palmas Bellas,PA,9.23,-80.09,12.23467254638672,75.2,88,4.7,40,1538013600,75.34049001076981,40.14000307708741
146,Kailua,US,21.39,-157.74,0.002804932650178671,87.08,69,8.05,75,1538014440,87.08003220887332,0.00920253523601219
147,Kavieng,PG,-2.57,150.8,12.332444190979,86.55,97,11.79,48,1538015900,86.69161271669836,40.460776199531544
148,Kenai,US,60.55,-151.26,3.731769561767578,53.06,66,6.93,1,1538013360,53.10285168597161,12.243338849029541
149,Lorengau,PG,-2.02,147.27,0.950973629951477,83.4,100,4.97,12,1538015900,83.41091997313433,3.119992324090004
150,Tessalit,ML,20.2,1.01,521.5233764648438,76.02,25,1.5,68,1538015901,82.00862164054321,1711.034754440918
151,Middelburg,ZA,-25.77,29.46,1476.21630859375,63.78,44,6.2,0,1538015901,80.73130329860352,4843.229513886718
152,Port Lincoln,AU,-34.72,135.86,1.329777836799622,59.01,92,11.12,48,1538015616,59.0252697591133,4.362788318085672
153,Cabedelo,BR,-6.97,-34.84,4.231160163879395,75.2,83,6.93,40,1538013600,75.24858615829223,13.881759512062075
154,Grand Gaube,MU,-20.01,57.66,16.13599967956543,71.6,78,11.41,40,1538013600,71.78528871616047,52.93963318870544
155,Luderitz,NA,-26.65,15.16,35.71016693115234,51.63,90,12.57,0,1538015902,52.040057704260406,117.15934407440183
156,Tuatapere,NZ,-46.13,167.69,25,45.96,100,7.31,92,1538015897,46.2470735,82.021
157,Hovd,MN,48.01,91.64,1391.369750976562,47.04,83,4.74,0,1538015902,63.017015368278805,4564.861533793944
158,Sibut,CF,5.73,19.09,432.3377685546875,68.1,97,9.78,76,1538015903,73.06450865604735,1418.431044584961
159,Bluff,NZ,-46.6,168.33,40,51.27,96,11.9,12,1538015903,51.7293176,131.2336
160,Ocean City,US,30.44,-86.61,3.754784345626831,77.36,71,4.7,75,1538013360,77.40311596335377,12.318846672506332
161,Pedro Ii,BR,-4.43,-41.45,605.1652221679688,79.53,43,7.2,0,1538015903,86.47907593624146,1985.4502674975586
162,Dubbo,AU,-32.25,148.6,264.134521484375,71.6,81,5.82,0,1538013600,74.63304086213378,866.5831034667968
163,Micheweni,TZ,-4.97,39.83,0.1495213806629181,74.67,100,10.78,92,1538015904,74.67171694504287,0.4905557265341282
164,Belmonte,BR,-26.84,-53.58,588.5076293945312,62.25,97,3.29,12,1538015904,69.00779779787963,1930.7993708227539
165,Dukat,RU,62.55,155.55,749.3877563476562,35.61,56,3.74,64,1538015904,44.21517464287476,2458.6213265356446
166,Dangriga,BZ,16.97,-88.23,8.646222114562988,82.4,83,7.09,40,1538010000,82.4992840497682,28.366871362342835
167,Port Hedland,AU,-20.31,118.58,10,93.2,23,8.05,0,1538013600,93.31482940000001,32.8084
168,San Patricio,MX,19.22,-104.7,0.9677748084068298,84.2,79,9.17,75,1538012460,84.21111290005845,3.1751143024134634
169,Sitka,US,37.17,-99.65,576.9644775390625,52.71,61,8.66,0,1538015846,59.335248477712405,1892.928136489258
170,Gotsu,JP,35.01,132.22,18.90802764892578,73.4,49,8.05,40,1538013600,73.61711974701096,62.03421343170166
171,Along,IN,28.17,94.8,264.2484130859375,67.11,97,1.83,92,1538015906,70.14434867256104,866.9567635888671
172,Deder,ET,9.31,41.44,2294.968994140625,60,66,2.17,20,1538015906,86.35299126157715,7529.426074736328
173,Kozan,TR,37.45,35.82,133.5155487060547,68,64,4.7,0,1538013000,69.5331510348587,438.0431528167725
174,Male,MV,4.17,73.51,2.816571235656738,82.4,83,8.05,20,1538013600,82.43234251850478,9.240719572792052
175,Khash,IR,28.22,61.21,1414.692138671875,54.33,67,3.4,0,1538015907,70.57482494684082,4641.3785562402345
176,San Jose,BO,-17.94,-63.35,519.9880981445312,77,78,4.7,12,1538013600,82.97099213170776,1705.9977519165038
177,Alyangula,AU,-13.85,136.42,21.09955596923828,83.49,82,16.04,0,1538015907,83.7322849352214,69.22426720611573
178,La Rioja,AR,-29.41,-66.86,511.8056030273438,65.4,89,6.42,92,1538015908,71.27703303122681,1679.1522946362306
179,Umm Lajj,SA,25.02,37.27,11.83994293212891,78.72,97,7.09,0,1538015908,78.85595735429305,38.84495836944581
180,Kenmare,IE,51.88,-9.58,12,48.21,100,3.85,0,1538015909,48.34779528,39.37008
181,Hereford,US,34.82,-102.4,1166.09814453125,54.68,81,3.36,1,1538014500,68.07023502776367,3825.781436503906
182,Chernyshevskiy,RU,63.01,112.47,380.0687561035156,47.58,91,3.51,48,1538015909,51.9443067222113,1246.9447777746582
183,Wahpeton,US,46.27,-96.61,294.3275451660156,60.8,66,5.82,90,1538014560,64.17974554148864,965.6415832824707
184,Norman Wells,CA,65.28,-126.83,61,32,91,5.82,75,1538013600,32.70045934,200.13124
185,Saint-Philippe,RE,-21.36,55.77,29.17001724243164,69.8,52,8.05,0,1538013600,70.13495755779381,95.70215936965943
186,Bonanza,NI,14.03,-84.62,192.3466186523438,73.86,97,2.51,48,1538015910,76.06870468118774,631.0584803393557
187,Matay,EG,28.42,30.79,37.92964553833008,68.55,79,10,0,1538015910,68.9855438439379,124.44109826797485
188,Kirakira,SB,-10.46,161.92,9.832538604736328,78.09,100,28.9,100,1538015911,78.20290645084587,32.258985955963134
189,Sechura,PE,-5.56,-80.82,13.66311073303223,68.46,86,11.12,20,1538015904,68.61689268076076,44.826480217361464
190,Akdepe,TM,42.05,59.39,75.27076721191406,48.2,70,4.7,0,1538013600,49.064329703648376,246.95134389953614
191,Poddorye,RU,57.47,31.12,71.28318786621094,46.23,81,19.95,0,1538015911,47.048540569276426,233.8687340789795
192,Kabo,CF,7.69,18.62,419.9662170410156,69.27,97,6.53,88,1538015912,74.09244687230895,1377.8419635168457
193,Kieta,PG,-6.22,155.63,43.40310287475586,81.51,94,13.8,8,1538015912,82.00839522612465,142.398636035614
194,Coahuayana,MX,18.62,-100.35,943.9855346679688,65.13,92,2.39,8,1538015912,75.96972925546021,3097.0655015600587
195,Ponta Do Sol,CV,17.2,-25.09,31.72919654846191,79.35,97,13.35,92,1538015912,79.71434446021419,104.09841720405578
196,Caravelas,BR,-17.73,-39.27,0,77.19,100,15.7,56,1538015877,77.19,0.0
197,Swellendam,ZA,-34.02,20.44,147.8667297363281,60.8,67,3.36,8,1538013600,62.49794478555847,485.1270815881347
198,Rosia De Amaradia,RO,45.05,23.75,543.067626953125,27.51,75,2.73,0,1538015913,33.74601297624512,1781.7179932128906
199,Bol,TD,13.47,14.72,279.7948608398438,76.11,64,1.39,32,1538015913,79.32286759933227,917.9621712377932
200,Grindavik,IS,63.84,-22.43,2.477333307266235,39.2,93,8.05,40,1538013600,39.228447069727345,8.127734207811354
201,Bowen,AU,-20.01,148.25,3.288888931274414,80.6,44,6.93,40,1538010000,80.63776611426448,10.790318361282349
202,Mount Gambier,AU,-37.83,140.78,43.86133193969727,59.28,83,6.76,48,1538015914,59.78365704298363,143.9020122810364
203,Cervo,ES,43.67,-7.41,65.55818939208984,68.55,88,5.19,8,1538015915,69.302800755298,215.08593008514404
204,Itoman,JP,26.12,127.67,6.3506760597229,86,70,18.34,75,1538013600,86.07292443215323,20.83555204378128
205,Vestmanna,FO,62.16,-7.17,225.9813385009766,44.6,93,2.24,92,1538014800,47.19493015112641,741.408614607544
206,Coquimbo,CL,-29.95,-71.34,65.98302459716797,55.4,87,2.24,90,1538013600,56.157679112467804,216.47974641937256
207,Zyryanka,RU,65.73,150.89,43,37.23,71,4.18,88,1538015915,37.72376642,141.07612
208,Nishihara,JP,35.74,139.53,62.86198043823242,64.4,87,8.05,90,1538015100,65.1218403496534,206.24009990097045
209,Kipushi,CD,-11.76,27.24,1355.296875,58.56,55,4.41,0,1538015916,74.1227926978125,4446.512199375
210,Cayenne,GF,4.94,-52.33,10.96581745147705,78.8,88,3.36,20,1538013600,78.92591982384626,35.97709252750397
211,Lavrentiya,RU,65.58,-170.99,2,43.71,94,11.23,56,1538015916,43.73296588,6.56168
212,Roald,NO,62.58,6.12,3.979628086090088,48.2,81,13.87,92,1538014800,48.24569783053489,13.056523009967805
213,Preston,US,42.1,-111.88,1436.755493164062,60.08,6,3.36,1,1538013060,76.57817712267334,4713.764892192381
214,Nazare,PT,39.6,-9.07,23.94339561462402,66.2,88,1.12,0,1538013600,66.47494057523899,78.55445006828307
215,Torres,BR,-29.34,-49.73,7.734840869903564,66.03,96,1.83,36,1538015918,66.11881871361865,25.376775319614406
216,Atar,MR,20.52,-13.05,224,73.86,34,5.19,0,1538015868,76.43217856,734.90816
217,Northam,AU,-31.65,116.67,151.3457489013672,62.6,59,14.99,20,1538013600,64.33789415388947,496.5411868255615
218,San Cristobal,EC,-1.02,-79.44,97.5453109741211,62.43,98,2.17,92,1538015919,63.55010695319717,320.03055805633545
219,Beloha,MG,-25.17,45.06,154.5306701660156,57.93,81,2.95,0,1538015919,59.704466413676144,506.9904039074706
220,Dalbandin,PK,28.9,64.41,852.138671875,62.34,47,1.72,0,1538015919,72.12505724082031,2795.730640234375
221,Altay,CN,47.83,88.13,840.3573608398438,42.36,56,2.95,0,1538015919,52.00977315308228,2757.078043737793
222,Jiwani,PK,25.05,61.74,0,78.36,95,3.74,48,1538015920,78.36,0.0
223,Poum,NC,-20.23,164.02,0,73.95,98,12.68,36,1538015920,73.95,0.0
224,Port Blair,IN,11.67,92.75,0,82.41,100,7.54,56,1538015878,82.41,0.0
225,Orlik,RU,52.51,99.83,1374.980834960938,30.03,55,2.39,0,1538015920,45.81882242900635,4511.092122573244
226,Crotone,IT,39.09,17.12,2.503864765167236,68.01,100,27.56,8,1538015920,68.03875172886653,8.214779676151274
227,Tasiilaq,GL,65.61,-37.64,67.22933197021484,35.6,69,1.12,12,1538013000,36.37199038525406,220.56868150115966
228,Kyabe,TD,9.45,18.94,391.9104309082031,70.98,92,6.64,24,1538015921,75.48028396349305,1285.795418140869
229,Lagoa,PT,37.14,-8.45,49.86245346069336,77,73,14.99,0,1538013600,77.57256756134194,163.5907318119812
230,Bubaque,GW,11.28,-15.83,18.47377777099609,79.35,100,15.03,68,1538015922,79.56213328171768,60.60950906219481
231,Hirara,JP,24.8,125.28,22.70339584350586,87.8,70,20.8,75,1538013600,88.06070173226722,74.48620921920777
